movie,solicitations
a beautiful mind - 2001,Which movie features a brilliant mathematician who overcomes personal struggles to win a Nobel Prize?
a beautiful mind - 2001,Can you name a movie directed by Ron Howard that involves complex emotional and intellectual themes?
a beautiful mind - 2001,What's a film that explores the life of a genius tackling mental health challenges amidst professional accolades?
inglourious basterds - 2009,What movie involves a group of Jewish-American guerrilla soldiers plotting against Nazis?
inglourious basterds - 2009,Which film has a premiere at a theater where a young Jewish refugee seeks revenge?
inglourious basterds - 2009,What is the film set in German-occupied France involving a Nazi officer named Colonel Hans Landa?
the young and prodigious t.s. spivet - 2013,Which movie did Jean-Pierre Jeunet direct that features a young prodigy as the main character?
the young and prodigious t.s. spivet - 2013,Can you tell me the name of the film where a kid travels alone across the U.S.A. after winning a prestigious science award?
the young and prodigious t.s. spivet - 2013,What's the movie that blends elements of family drama with scientific adventure and involves a perpetual motion machine?
the help - 2011,What movie explores the dynamics of race and social change in the American South during the 1960s?
the help - 2011,Can you name a film where the main character is a budding writer shaking up societal norms with personal interviews?
the help - 2011,Which movie directed by Tate Taylor deals with sensitive themes of race and gender roles?
lars and the real girl - 2007,What's a film with a unique take on a love story by Craig Gillespie?
lars and the real girl - 2007,Can you name a comedy with an unconventional romantic plot involving a doll?
lars and the real girl - 2007,Which movie involves a community rallying behind a man's relationship with a non-human companion?
psycho - 1960,What's a classic thriller directed by Alfred Hitchcock known for its unexpected plot twists?
psycho - 1960,Can you recommend a movie about a woman trying to escape her troubled life that takes a dark turn in a small motel?
psycho - 1960,What's a famous horror film that involves complex mother-son dynamics?
american psycho - 2000,Which movie dives deep into the psychology of vanity and sociopathy in the 1980s Wall Street scene?
american psycho - 2000,What's that film about a Wall Street executive hiding a dark secret?
american psycho - 2000,"Can you name a movie where the protagonist is both disgusted by others and himself, eventually leading to a violent descent?"
city island - 2009,What movie is directed by Raymond De Felitta featuring a family struggling with secrets?
city island - 2009,Can you name a film where a corrections officer aspires to be an actor?
city island - 2009,Which movie involves a family's lies being exposed by the arrival of a young ex-con?
the brand new testament - 2015,What's a film where God is portrayed in a human form living in Brussels?
the brand new testament - 2015,What's a movie where a daughter rewrites a 'new testament' with 6 messengers?
the brand new testament - 2015,Can you name a comedy that explores existential themes set in Belgium?
hidden figures - 2016,Can you tell me the name of a movie directed by Theodore Melfi involving space exploration?
hidden figures - 2016,What's the title of a movie about African-American women who made significant contributions to NASA during the Space Race?
hidden figures - 2016,Is there a film that highlights themes of breaking racial and gender barriers in the field of mathematics and space exploration?
captain fantastic - 2016,What film features characters living a survivalist lifestyle off the grid?
captain fantastic - 2016,Which movie involves a family grappling with grief and cultural conflicts after a key family member's death?
captain fantastic - 2016,Can you recommend a film directed by Matt Ross about a family attempting to live according to socialist ideals?
across the universe - 2007,What movie features a fictional love story set during the 1960s with music by the Beatles?
across the universe - 2007,Which movie set in the 1960s was directed by Julie Taymor?
across the universe - 2007,Could you name a film that combines live action and animation and features anti-war protests and rock and roll?
mustang - 2015,What film directed by Deniz Gamze Ergüven explores the themes of repression and sisterhood?
mustang - 2015,Can you name a movie where five sisters strive for freedom in a small village?
mustang - 2015,I'm looking for a film that portrays societal constraints in Turkey; any suggestions?
estômago - 2007,Can you name a movie directed by Marcos Jorge?
estômago - 2007,What's a movie about a chef who finds his way through cooking while dealing with life in prison?
estômago - 2007,Is there a film that combines elements of Brazilian and Italian culture in its storyline?
american beauty - 1999,Can you name a movie directed by Sam Mendes?
american beauty - 1999,What's a film that explores suburban life and family dynamics?
american beauty - 1999,Which movie features a character who is infatuated with a high school student?
get out - 2017,What is a horror movie directed by Jordan Peele?
get out - 2017,Which movie involves a weekend visit that uncovers unsettling truths about a family?
get out - 2017,Can you name a film that includes themes of interracial relationships within its plot?
american history x - 1998,What movie directed by Tony Kaye deals with themes of racism and redemption?
american history x - 1998,Which film features a former skinhead trying to prevent his brother from following in his footsteps?
american history x - 1998,Can you name a drama that explores the impact of a white supremacist gang through a family’s story?
city of god - 2002,What movie that explores gang life in Brazil in the 1960s and 1980s should I watch?
city of god - 2002,Can you recommend a film directed by Fernando Meirelles?
city of god - 2002,Which movie takes place in the City of God and involves a photographer caught in the chaos of gang wars?
elite squad - 2007,What's a movie directed by José Padilha that involves the police?
elite squad - 2007,Can you suggest a film set in Brazil that deals with drug dealers and the military?
elite squad - 2007,Which movie involves a character who must find a replacement due to a life-changing personal reason?
elite squad 2: the enemy within - 2010,Which Brazilian movie directed by José Padilha involves police corruption and crime in Rio?
elite squad 2: the enemy within - 2010,What's the name of the film featuring a lieutenant-colonel and a battle against a militia in Brazil?
elite squad 2: the enemy within - 2010,Can you tell me the sequel to a José Padilha movie that deals with the political misuse of police forces?
snowden - 2016,What movie explores the controversial actions of a former NSA contractor?
snowden - 2016,Can you name a film directed by Oliver Stone that involves espionage?
snowden - 2016,Which movie features a plot about leaking classified information to the public?
batman begins - 2005,What movie did Christopher Nolan direct that reveals the origin story of a famous DC superhero?
batman begins - 2005,What film features a billionaire who fights crime in Gotham City dressed as a bat?
batman begins - 2005,Which movie blends action and a dark narrative following a playboy billionaire trained to fight evil?
unbreakable - 2000,What thriller movie involves a train accident and the sole survivor discovering something extraordinary about himself?
unbreakable - 2000,What's the film featuring a character who learns he may have remarkable endurance and courage?
unbreakable - 2000,Can you name a movie in which a mysterious stranger explains the concept of being 'unbreakable' to the protagonist?
your name. - 2016,What's a movie by Makoto Shinkai that explores themes of dreams and identity?
your name. - 2016,Can you name a film where a high school girl feels disconnected from her hometown and dreams of living in a big city?
your name. - 2016,Which Japanese film features a unique connection between a boy in Tokyo and a girl in a rural town?
the sixth sense - 1999,Can you name a psychological thriller from the late 90s where a young boy communicates with the dead?
the sixth sense - 1999,What's a chilling film that blends supernatural elements with psychological depth?
the sixth sense - 1999,What's the title of the movie about a child psychologist who attempts to help a troubled boy in Philadelphia?
the way he looks - 2014,What is a Brazilian movie about a blind teenager experiencing new friendships and feelings?
the way he looks - 2014,Which movie directed by Daniel Ribeiro features a character named Leonardo?
the way he looks - 2014,Can you name a film where a student named Gabriel causes the protagonist to reconsider their plans?
one flew over the cuckoo's nest - 1975,What's a classic film directed by the same person who directed a movie about rebelling against an oppressive nurse?
one flew over the cuckoo's nest - 1975,Can you suggest a movie that highlights the theme of overcoming systemic power and authority?
one flew over the cuckoo's nest - 1975,Which film explores the experiences of a character who feigns insanity to escape prison labor?
the man from the future - 2011,What is a Brazilian sci-fi movie directed by Cláudio Torres?
the man from the future - 2011,Which movie features a scientist who travels back to 1991 to alter his future?
the man from the future - 2011,What's the film where a man tries to change his fate after a time travel accident?
the other boleyn girl - 2008,What is a film featuring two sisters competing for the love of King Henry VIII?
the other boleyn girl - 2008,What's the movie about Anne and Mary Boleyn's rivalry?
the other boleyn girl - 2008,Can you name a historical drama that involves romance and betrayal in the royal court of King Henry VIII?
the man who copied - 2003,What movie features a protagonist who works at a xerox place and starts photocopying money?
the man who copied - 2003,Can you name a Brazilian movie directed by Jorge Furtado?
the man who copied - 2003,What's the name of the movie where a man falls in love with his neighbor and starts following her around the city?
uncle frank - 2020,"What movie, directed by Alan Ball, features a college professor in 1970s New York?"
uncle frank - 2020,Can you name a movie about a young woman's transition from South Carolina to New York City?
uncle frank - 2020,Which film has a plot involving a close relationship between an 18-year-old girl and her thoughtful uncle who is also a professor?
jesus henry christ - 2011,What movie did Dennis Lee direct?
jesus henry christ - 2011,What movie is about a boy conceived in a petri-dish searching for his father?
jesus henry christ - 2011,Can you name a film that involves themes of psychology experiments and gender bias?
bo burnham: inside - 2021,Can you name a recent musical comedy special?
bo burnham: inside - 2021,What's the name of the film shot and performed by one person during a unique year?
bo burnham: inside - 2021,Do you know the latest project directed by Bo Burnham?
big hero 6 - 2014,What movie features a group of friends transforming into high-tech heroes?
big hero 6 - 2014,Can you name a film directed by Don Hall and Chris Williams?
big hero 6 - 2014,Which movie involves a city called San Fransokyo facing a devastating event?
zootopia - 2016,What animated movie features a city where various animal species coexist?
zootopia - 2016,Can you name a film where a rabbit joins the police force and must solve a mystery with a tricky fox?
zootopia - 2016,"Which movie was directed by the team of Byron Howard, Rich Moore, and Jared Bush?"
amélie - 2001,What film involves a young woman in Paris helping those around her while seeking her own happiness?
amélie - 2001,Can you name a movie directed by Jean-Pierre Jeunet?
amélie - 2001,"What movie combines elements of romance, quirkiness, and a search for personal fulfillment?"
thank you for smoking - 2005,What movie features a talented spokesperson who defends the cigarette industry even in tough situations?
thank you for smoking - 2005,Which film directed by Jason Reitman involves a lobbyist and his business trips?
thank you for smoking - 2005,Can you name a movie that portrays a character frequently meeting with friends from the alcohol and gun industries?
kiki's delivery service - 1989,What's a movie directed by the same person who created 'Spirited Away'?
kiki's delivery service - 1989,Can you name a film that features a young witch embarking on a journey of independence?
kiki's delivery service - 1989,Which film features an imaginative and determined protagonist alongside a talking cat in a European setting?
not a love story: making (500) days of summer - 2009,Which behind-the-scenes documentary dives into the production of a romantic comedy-drama released in 2009?
not a love story: making (500) days of summer - 2009,What is the documentary directed by Charles de Lauzirika that explores the making of a Marc Webb film?
not a love story: making (500) days of summer - 2009,Can you name a documentary that provides an inside look at a movie featuring themes of love and relationships without being a typical romance?
pride & prejudice - 2005,What is a movie directed by Joe Wright?
pride & prejudice - 2005,Which film features a plot about the lives of five sisters in Georgian England?
pride & prejudice - 2005,Can you name a period drama that is based on a novel by Jane Austen?
joker - 2019,What's the name of the movie directed by Todd Phillips about a clown with mental health issues?
joker - 2019,Can you tell me a film where the main character is an aspiring stand-up comic with uncontrollable laughter?
joker - 2019,Which movie explores a man's transformation into a notorious persona in a gritty urban setting?
inside out - 2015,What animated film explores the emotions inside a young girl's mind as she navigates a big move?
inside out - 2015,Can you name a movie where Pete Docter delves into the emotional challenges of growing up?
inside out - 2015,What film presents a creative narrative on emotions like joy and sadness working together to help a child through life changes?
begin again - 2013,What movie features a storyline where a woman's music career in New York City helps her heal after a breakup?
begin again - 2013,Can you name a film directed by John Carney that involves a transformative musical partnership?
begin again - 2013,Which movie involves a songwriter's encounter with a former record exec in the East Village?
12 years a slave - 2013,Can you name a film directed by Steve McQueen that explores difficult themes?
12 years a slave - 2013,Which movie depicts the struggles of a free black man who is captured and forced into slavery?
12 years a slave - 2013,What film might have a powerful narrative about survival and resilience based in the pre-Civil War United States?
juno - 2007,What is a movie directed by a filmmaker who also made 'Thank You for Smoking'?
juno - 2007,Can you recommend a teen comedy that deals with unexpected pregnancy?
juno - 2007,Which movie involves a high school junior navigating her life after a major surprise involving a friend?
little nicholas - 2009,What recent family comedy set in France involves a boy worried about getting a new sibling?
little nicholas - 2009,Can you name a movie where the main character is a young boy who fears his life will change when he overhears his parents talking?
little nicholas - 2009,Which film was directed by Laurent Tirard that focuses on a child's imaginative adventures when facing family changes?
v for vendetta - 2005,What movie features a freedom fighter challenging a totalitarian regime?
v for vendetta - 2005,Which film's plot revolves around a mysterious figure known only by a single letter?
v for vendetta - 2005,Can you name a movie directed by James McTeigue about a dystopian future?
saved! - 2004,What film directed by Brian Dannelly involves themes of religious satire and teenage pregnancy?
saved! - 2004,Which movie tells the story of a girl dealing with her boyfriend's coming out as gay and her unexpected pregnancy in a Christian high school?
saved! - 2004,Can you name a film where the plot revolves around a Christian band's dynamics and challenges faced by their leader at a suburban high school?
reflections of a blender - 2010,What's a movie directed by André Klotzel?
reflections of a blender - 2010,Can you recommend a film about a talking household appliance?
reflections of a blender - 2010,What's a Brazilian movie involving an unusual detective story?
never rarely sometimes always - 2020,What's a recent movie by Eliza Hittman?
never rarely sometimes always - 2020,Could you suggest a film that highlights the challenges faced by young women in rural America?
never rarely sometimes always - 2020,Do you know any films that explore deep female friendships during tough times?
don jon - 2013,What's the movie directed by Joseph Gordon-Levitt about a man redefining his understanding of relationships?
don jon - 2013,Which film explores themes of objectification and personal growth through the life of a man known for his romantic conquests?
don jon - 2013,"Can you name a movie that's a blend of comedy and romance, centered on a character who learns life lessons through interactions with different women?"
the suicide shop - 2012,What is a dark comedy movie with a unique twist on family business?
the suicide shop - 2012,Can you name a film directed by Patrice Leconte that deals with a morbid subject in an unconventional way?
the suicide shop - 2012,What movie features a setting where a joyful baby disrupts a shop known for selling grim products?
kingsman: the secret service - 2014,What's the film featuring a secret spy organization and a tech billionaire antagonist?
kingsman: the secret service - 2014,What's the movie about an ordinary young man recruited into a secret spy service?
kingsman: the secret service - 2014,Can you tell me a film involving a tech billionaire villain and a young recruit trained by a secret organization?
easy a - 2010,What film mirrors 'The Scarlet Letter' in a high school setting?
easy a - 2010,Can you name a movie directed by Will Gluck that deals with high school rumors?
easy a - 2010,What's a film where a teenager falsely claims to have lost her virginity?
the grand budapest hotel - 2014,What's a witty comedy set in a fictional European hotel?
the grand budapest hotel - 2014,Which film features a plot involving a famous concierge and a stolen painting?
the grand budapest hotel - 2014,Can you name a movie directed by Wes Anderson that's known for its unique visual style?
rushmore - 1998,What other movies has Wes Anderson directed?
rushmore - 1998,Can you recommend a movie with a unique love triangle plot?
rushmore - 1998,What film features a student deeply involved in extracurricular activities despite academic challenges?
the shawshank redemption - 1994,What movie explores the life of a wrongly convicted banker in prison?
the shawshank redemption - 1994,Can you tell me a film directed by Frank Darabont?
the shawshank redemption - 1994,Which movie features a wise inmate named Red as a prominent character?
django unchained - 2012,Which movie directed by Quentin Tarantino involves a plot around a bounty hunter and a slave during the 1850s?
django unchained - 2012,What movie features a storyline where a slave teams up with a bounty hunter to find his wife?
django unchained - 2012,Can you name a film that's categorized under Western and drama genres made by a famous director known for his distinctive style?
the double - 2013,What movie features a character named Simon who faces challenges with a lookalike co-worker named James?
the double - 2013,Can you name a film directed by Richard Ayoade that involves identity and duality?
the double - 2013,What's the title of a British movie that portrays a timid man's life being taken over by his charismatic double?
"angus, thongs and perfect snogging - 2008",Which movie directed by Gurinder Chadha features a character having a crush on someone from an organic groceries shop?
"angus, thongs and perfect snogging - 2008",What's a film that involves a fluffy cat maintaining its dignity amid a family in Eastbourne?
"angus, thongs and perfect snogging - 2008",Can you name a movie with a plot about a girl dealing with teenage drama and manipulative friendships?
little miss sunshine - 2006,What is a comedy-drama that involves a road trip with a dysfunctional family?
little miss sunshine - 2006,Which movie features a family traveling in a Volkswagen Kombi to a beauty pageant?
little miss sunshine - 2006,Name a film co-directed by Jonathan Dayton and Valerie Faris.
the rocky horror picture show - 1975,"Can you recommend a movie with an extravagant, transgressive plot?"
the rocky horror picture show - 1975,I'm looking for a film directed by Jim Sharman. Any suggestions?
the rocky horror picture show - 1975,What's a movie featuring a mad scientist and a unique lab creation?
how to train your dragon - 2010,What animated film did Dean DeBlois and Chris Sanders direct together?
how to train your dragon - 2010,Can you name a movie featuring a friendship between a young viking and a dragon?
how to train your dragon - 2010,Which film involves a young viking challenging his community's beliefs about dragons?
isn't it romantic - 2019,What new movie has a unique twist on romantic comedy tropes?
isn't it romantic - 2019,Which recent film was directed by Todd Strauss-Schulson?
isn't it romantic - 2019,Can you name a movie where the protagonist navigates a surreal romantic comedy world after an accident?
the skin i live in - 2011,What is a movie directed by Pedro Almodóvar that involves science and skin?
the skin i live in - 2011,Can you name a film where a scientist works on creating a resilient type of skin as a tribute?
the skin i live in - 2011,What's a movie that delves into a character's past related to a tragic car accident and scientific experiments?
father's chair - 2012,What is the movie about a Brazilian father searching for his missing son?
father's chair - 2012,What's a film directed by Luciano Moura?
father's chair - 2012,Can you suggest a family drama from Brazil that involves prioritizing work over loved ones?
silenced - 2011,What is a movie that deals with serious social issues in South Korea?
silenced - 2011,Which film explores the theme of corruption and child abuse within a school setting?
silenced - 2011,Can you name a movie directed by Hwang Dong-hyuk that is based on a true story?
50/50 - 2011,What is the movie that Jonathan Levine directed about a young man battling a rare cancer?
50/50 - 2011,Can you name a film where the main character is a radio writer diagnosed with spinal cancer?
50/50 - 2011,What's a drama-comedy film where the protagonist learns valuable life lessons with the help of his friend and a therapist?
boyhood - 2014,"What movie, directed by Richard Linklater, was filmed over 12 years with the same cast?"
boyhood - 2014,Which film uniquely captures the journey of growing up through real-time advancements in a character's age?
boyhood - 2014,Can you name a groundbreaking coming-of-age movie that includes music from Coldplay and Arcade Fire?
the shining - 1980,What's a horror movie directed by Stanley Kubrick?
the shining - 1980,Can you name a film where a writer and his family stay in a haunted hotel with a dangerous room?
the shining - 1980,What's a movie where a character named Danny has a psychic gift called 'the shining'?
fried green tomatoes - 1991,What is a movie directed by Jon Avnet?
fried green tomatoes - 1991,Can you name a film set in 1920's Alabama that explores themes of friendship and self-discovery?
fried green tomatoes - 1991,What movie involves a storyline of a woman learning to be assertive through tales from an elder in a nursing home?
thelma & louise - 1991,What movie features two women on a road trip that turns into a crime spree?
thelma & louise - 1991,Which Ridley Scott film delves into themes of friendship and female empowerment?
thelma & louise - 1991,Can you name a movie that explores the drastic choices people make when pushed to their limits on a journey?
we need to talk about kevin - 2011,What film by Lynne Ramsay deals with parental struggles?
we need to talk about kevin - 2011,Which movie involves a mother dealing with the aftermath of her son's actions?
we need to talk about kevin - 2011,Can you recommend a psychological drama that explores the complexities of motherhood?
into the wild - 2007,What's a movie directed by Sean Penn?
into the wild - 2007,Can you name a film about someone living in the Alaskan wilderness?
into the wild - 2007,Can you tell me a movie based on a true story of a graduate traveling across America?
the imitation game - 2014,Can you name a movie about a legendary cryptanalyst?
the imitation game - 2014,What movie features code-breakers during World War II?
the imitation game - 2014,Which film was directed by Morten Tyldum and involves a nail-biting race against time?
memento - 2000,Can you tell me a movie directed by Christopher Nolan that explores memory loss?
memento - 2000,What's a film that involves a nonlinear narrative revealing the plot both forward and backward?
memento - 2000,"I'm interested in a movie that tells the story of a man seeking his wife's murderer, any suggestions?"
inception - 2010,Can you tell me the name of the movie directed by Christopher Nolan that involves corporate espionage within dreams?
inception - 2010,What's that movie where they have to plant an idea instead of stealing one?
inception - 2010,I'm curious about a sci-fi thriller involving a skilled thief who operates within dreams. What's it called?
gone girl - 2014,What movie is a psychological thriller directed by the same person who did Fight Club?
gone girl - 2014,I'm curious about a film where a husband's life is turned upside down after his wife goes missing. What is it called?
gone girl - 2014,Which film involves a twisted narrative surrounding a seemingly perfect marriage in the United States?
fight club - 1999,What movie involves a secretive group where members fight each other and make soap?
fight club - 1999,Which film features a collaboration between a mentally unstable protagonist and a charismatic soap salesman?
fight club - 1999,What's a movie that explores themes of masculinity and identity through an underground fighting ring?
room - 2015,What's the movie about a mother and child confined in a small space?
room - 2015,Can you tell me the name of the movie directed by Lenny Abrahamson?
room - 2015,What's a movie where a young boy grows curious about his unusual living situation with his mom?
contact - 1997,What movie by Robert Zemeckis combines science fiction with the exploration of extraterrestrial life?
contact - 1997,Can you name a film about a determined female astronomer who receives messages from outer space?
contact - 1997,Which movie involves a theological author and a scientist clashing over the implications of a message from the stars?
trainspotting - 1996,What film takes viewers on a chaotic journey through the gritty underworld of Edinburgh?
trainspotting - 1996,Which movie directed by Danny Boyle explores the struggles of heroin addiction?
trainspotting - 1996,Can you name a film featuring a character trying to overcome his drug habit and its impact on his social connections?
the virgin suicides - 1999,What's a movie directed by Sofia Coppola featuring a suburban mystery plot?
the virgin suicides - 1999,Can you name a film about a group of mysterious sisters with a strict upbringing in 1970s Detroit?
the virgin suicides - 1999,"I'm curious about a movie where a teenage romance challenges household rules, any suggestions?"
charlie bartlett - 2007,What is the movie about a teenager becoming a school therapist?
charlie bartlett - 2007,What's the film called that involves a student running into trouble after selling prescription drugs at school?
charlie bartlett - 2007,Can you name a movie directed by Jon Poll that explores the life of a wealthy yet troubled teenager?
antonia's line - 1995,Can you suggest a movie where feminism is a central theme?
antonia's line - 1995,I'm curious about a film directed by Marleen Gorris. What's its name?
antonia's line - 1995,What's the name of the movie that features a matriarchal Dutch community?
in time - 2011,What movie explores a world where time is a currency and people stop aging at 25?
in time - 2011,Which film is directed by Andrew Niccol and is set in a society where the rich have endless youth?
in time - 2011,Can you name a movie where a man falsely accused of murder goes on the run in a dystopian setting?
persepolis - 2007,Can you suggest a movie directed by both Vincent Paronnaud and Marjane Satrapi?
persepolis - 2007,What's a movie where the plot involves a young woman facing prejudice both in her homeland and abroad?
persepolis - 2007,I'm curious about a film that explores the impact of the Iranian Revolution from the perspective of a young girl.
the color purple - 1985,What movie directed by Steven Spielberg depicts the struggles of an African American woman in the early 20th century?
the color purple - 1985,Which film featuring a young girl's journey starting at age 14 and spanning three decades is set in the United States?
the color purple - 1985,What dramatic historical movie by a renowned director features a storyline about resilience and overcoming hardships in the 1900s?
marighella - 2019,What Brazilian movie set in 1969 was directed by Wagner Moura?
marighella - 2019,Can you name a film about a revolutionary leader fighting against a military dictatorship in Brazil?
marighella - 2019,Which movie involves a character balancing revolution with the hope of reuniting with his son?
jojo rabbit - 2019,Can you name a comedy-drama that combines satire with a historical backdrop?
jojo rabbit - 2019,What's a film directed by the person who played an imaginary version of Hitler in a 2019 release?
jojo rabbit - 2019,Which movie involves a young boy finding out his mother is hiding someone during WWII?
kramer vs. kramer - 1979,Can you name a movie by Robert Benton about a family struggle?
kramer vs. kramer - 1979,What's a classic film that involves a courtroom battle over child custody?
kramer vs. kramer - 1979,Which movie features a career-focused man forced to adjust his priorities when his wife leaves him?
late night - 2019,What recent movie involves a legendary female talk-show host facing low ratings and a diversity issue?
late night - 2019,Can you name a comedy about a female TV host and her diverse new writer?
late night - 2019,What's a film featuring a female lead in the late-night TV industry facing a career crisis?
margarita with a straw - 2014,Can you name an Indian movie featuring a protagonist with cerebral palsy discovering her identity through romantic relationships?
margarita with a straw - 2014,"What's a film directed by Shonali Bose that explores themes of disability, love, and family in a coming-of-age story?"
margarita with a straw - 2014,Can you tell me the name of a movie where a young woman studying in New York navigates her sexuality and relationships amidst family challenges?
it - 2017,Can you name a horror movie where children team up to fight an evil entity in their town?
it - 2017,What's a film directed by Andy Muschietti that features a terrifying clown?
it - 2017,I heard there's a movie about kids in a small town battling a sinister force; do you know which one that is?
hereditary - 2018,What movie explores family trauma and supernatural elements?
hereditary - 2018,Which movie has a plot involving a family's disturbing experiences after the matriarch's death?
hereditary - 2018,Can you name a movie directed by Ari Aster featuring Toni Collette?
tattoo - 2013,What movie was directed by Hilton Lacerda?
tattoo - 2013,What movie depicts a romance between an 18-year-old soldier and a cultural ringleader during a military coup?
tattoo - 2013,Can you name a Brazilian film that explores generational conflicts from a marginal perspective?
a wolf at the door - 2013,What is a Brazilian movie involving a complex kidnapping plot?
a wolf at the door - 2013,Which movie explores dark aspects of betrayal and deceit among three characters?
a wolf at the door - 2013,Name a film directed by Fernando Coimbra focusing on a child's abduction.
bicho de sete cabeças - 2000,Which movie explores the harsh realities of mental institutions in Brazil?
bicho de sete cabeças - 2000,Can you name a movie directed by Laís Bodanzky about a teenager's journey through a corrupt mental health system?
bicho de sete cabeças - 2000,What's the film where a teenager's life changes after an encounter with marijuana and a mental institution?
erin brockovich - 2000,What is a compelling film about a legal fight against environmental pollution?
erin brockovich - 2000,Which movie features a determined woman unraveling a corporate cover-up?
erin brockovich - 2000,Can you name a film directed by Steven Soderbergh that involves a lawsuit?
malignant - 2021,What movie features a protagonist experiencing visions of murder that connect to her past?
malignant - 2021,Can you name a recent horror film directed by the creator of 'The Conjuring' series?
malignant - 2021,What film involves a mysterious connection between a past hospital incident and present-day murders?
zack snyder's justice league - 2021,Can you name a film where a group of superheroes team up to fight an imminent global threat?
zack snyder's justice league - 2021,What movie features Bruce Wayne and Diana Prince recruiting metahumans?
zack snyder's justice league - 2021,Which recent Zack Snyder-directed film involves a battle against Steppenwolf and his forces?
good bye lenin! - 2003,What movie features a plot where someone goes to great lengths to recreate the past for a loved one?
good bye lenin! - 2003,Can you name a film directed by Wolfgang Becker that touches on Germany's reunification?
good bye lenin! - 2003,Looking for a film set in East Germany that involves a family dealing with historical changes. Any suggestions?
elephant - 2003,What's a movie that depicts a regular school day but with an unexpected event?
